PKM KD UPREGULATED PAUSE SITES,,,,PKM KD DOWNREGULATED PAUSE SITES,,,,EIF5A OVX UPREGULATED PAUSE SITES,,,,EIF5A OVX DOWNREGULATED PAUSE SITES,,,,EIF5A OVX DOWNREGULATED TE,,EIF5A OVX UPREGULATED TE,
,Transcript,p,t-statistic,,Transcript,p,t-statistic,,Transcript,p,statistic,,Transcript,p,statistic,Index,Transcript,Index,Transcript
1,ANP32A,0.00675,-6.01355042,1,ANP32A,0.00675,-6.01355042,1,ACTB,0.00146,7.950976329,1,ACTN4,0.0189,-6.707580595,504,ADA2,32,ABCA10
2,ARF1,0.0241,-4.688034029,2,CBX3,0.00227,-7.042294323,2,ACTG1,0.0187,3.844885621,2,ARF1,0.0488,-3.629607088,714,AHCTF1,40,ABCA7
3,ATP5F1A,0.0372,-3.220159724,3,CCT6A,0.00842,-10.79548672,3,ACTN4,0.0142,4.464551586,3,ARHGEF2,0.0137,-4.207144019,769,AKAP9,312,AC099489.1
4,ATP5MC3,0.0337,-4.983538253,4,CLTC,0.00051,-10.25648212,4,ATP5MG,0.0371,3.968965737,4,BST2,0.0231,-4.198047108,1044,ANKRD12,386,ACADVL
5,B2M,0.0374,-3.819679977,5,CLTC,0.00752,-7.175173798,5,BCAP31,0.0406,3.402941028,5,CALM2,0.00271,-7.667167554,1070,ANKRD33B,390,ACAP3
6,BSG,0.0152,-4.358816138,6,CSE1L,0.00998,-4.823821623,6,CCT3,0.00942,4.845648608,6,CALR,0.0301,-4.275713484,1108,ANLN,526,ADAM8
7,CACYBP,0.0299,-3.608277198,7,EEF2,0.00258,-13.95903502,7,CCT4,0.0474,3.288922915,7,CCT4,0.0073,-6.284979801,1187,AP3D1,787,AKR7A3
8,CACYBP,0.0227,-3.609764198,8,GPI,0.00613,-9.08286497,8,CD164,0.044,2.903407802,8,CCT5,0.00887,-5.815498684,1208,APC,788,AKT1
9,CALM1,0.0332,-3.195510346,9,HDAC2,0.00359,-6.165082497,9,COPA,0.00177,7.657243535,9,CD164,0.0352,-3.1369773,1375,ARID1A,1038,ANKMY1
10,CAPRIN1,0.0347,-3.159971283,10,HIST1H2BJ,0.00718,-5.554815629,10,CORO1A,0.0383,3.495944998,10,CD44,0.00678,-5.183432756,1511,ASCC3,1048,ANKRD13D
11,CBX3,0.00227,-7.042294323,11,HIST1H2BO,0.00137,-8.167998759,11,CYBA,0.0447,4.332289785,11,DDX3X,0.0462,-3.953262853,1556,ATAD2,1059,ANKRD23
12,CBX3,0.0132,-4.498225362,12,HIST3H2BB,0.00334,-6.939987706,12,DDX3X,0.00456,6.315841178,12,DDX5,0.0194,-3.975890743,1561,ATAD5,1079,ANKRD39
13,CCT2,0.0426,-3.412356596,13,HMGB1,0.00176,-11.48774442,13,DDX5,0.0297,3.858577806,13,DHX15,0.00265,-6.680737283,1617,ATP1A1,1174,AP1G2
14,CCT6A,0.034,-3.311237195,14,HNRNPD,0.00897,4.754495993,14,DDX6,0.0341,3.444538817,14,EEF1A1,0.0358,-3.582358781,1627,ATP2A2,1207,APBB3
15,CCT6A,0.00842,-10.79548672,15,HSBP1,0.0027,7.167358644,15,EEF1A1,0.00182,11.99742122,15,EEF2,0.0341,-3.370643559,1697,ATR,1304,ARFRP1
16,CCT6A,0.0336,-3.369938135,16,HSP90AB1,0.00499,6.070186287,16,EIF1,0.0269,4.896782936,16,EIF4A1,0.0258,-3.579207049,1702,ATRX,1337,ARHGAP4
17,CKS2,0.0406,-3.002323869,17,MORF4L1,0.00538,-6.480316957,17,GAPDH,0.0239,3.785419837,17,ENO1,0.0307,-3.286288196,1873,BCLAF1,1421,ARMC2
18,CLTC,0.00051,-10.25648212,18,NDUFA4,0.00614,5.386019239,18,GDI2,0.0161,4.526342247,18,ENO1,0.00495,-5.689343086,1877,BCOR,1582,ATG16L2
19,CLTC,0.00752,-7.175173798,19,PEBP1,0.00393,-6.306841255,19,H1,0.0308,3.333620578,19,EPRS1,0.00948,-4.826568678,1990,BOD1L1,1641,ATP5F1E
20,CSE1L,0.00998,-4.823821623,20,PHGDH,0.00361,7.195866118,20,H3,0.018,3.874730377,20,FAU,0.0136,-8.432980799,2027,BRCA2,2269,C1orf21
21,DHX9,0.0192,-4.032078715,21,PLS3,0.0039,-10.17898009,21,H4C8,0.0154,4.06335548,21,G3BP1,0.0397,-3.010258052,2941,CCPG1,2824,CCDC57
22,DHX9,0.0319,-3.551444537,22,PPIA,0.00855,-6.598832854,22,HLA,0.0437,2.911924107,22,H3C3,0.0362,-3.23374335,3095,CDCA2,2932,CCNL1
23,EEF2,0.00258,-13.95903502,23,PSMA5,0.00345,-6.935823518,23,HSP90AA1,0.00586,5.416525482,23,HLA,0.0444,-3.131362455,3245,CENPE,2933,CCNL2
24,EIF1,0.0403,-4.637180022,24,PTBP1,0.00489,-5.720348526,24,HSP90AB1,0.0289,4.398203428,24,HNRNPA2B1,0.0378,-3.110566348,3246,CENPF,3372,CFLAR
25,EIF1AX,0.0447,-3.008974553,25,PTMA,0.00919,-5.451180982,25,HSPA5,0.0419,2.99381662,25,HNRNPH1,0.0365,-4.275791887,3277,CEP170,3430,CHKB
26,EIF3I,0.0423,-3.265867917,26,RAN,0.00504,-5.631400973,26,IFI16,0.0407,3.300505635,26,HSP90AA1,0.00695,-5.127110138,3376,CGAS,3497,CHTF18
27,ERH,0.0235,-3.664972236,27,RPL37,0.00218,8.786652168,27,IFI16,0.0239,4.636123615,27,HSP90AB1,0.0247,-3.559049451,3405,CHD1,3563,CLCN6
28,G3BP1,0.0159,-4.03225521,28,RPL37,0.00987,-4.622319332,28,IRF4,0.0406,3.183131602,28,HSP90B1,0.0432,-4.316241493,3970,CPT1A,3762,CNTNAP1
29,G3BP1,0.0483,-3.429701965,29,SERBP1,0.00304,-10.32043796,29,JCHAIN,0.0438,2.906511911,29,HSPA9,0.0448,-3.109362095,4402,DAG1,3795,COL14A1
30,G3BP1,0.0346,-3.247158848,30,SET,0.00933,-9.614209136,30,LGALS1,0.0287,4.333755201,30,HSPD1,0.0473,-3.894858288,4440,DCAF1,3971,CPT1B
31,GLA,0.0206,-3.718695656,31,SNRPC,0.00149,-10.11607689,31,LMNA,0.0202,3.938506759,31,HSPD1,0.0109,-5.896378328,4716,DIAPH1,4390,D2HGDH
32,GPI,0.00613,-9.08286497,32,SRSF3,0.00651,5.617812862,32,MAN1A1,0.0306,3.480845469,32,IMPDH2,0.0228,-3.838883141,5065,DYNC1H1,4509,DDHD2
